시도,군구,관광지,총계,위도,경도
제주특별자치도,서귀포시,천지연폭포,2507172,33.2447168,126.5595511
제주특별자치도,제주시,한라산국립공원,2155639,33.3926868,126.4948405
제주특별자치도,제주시,비자림,2094672,33.4910973,126.8114612
제주특별자치도,서귀포시,중문대포해안주상절리대,2050526,33.2379944,126.4260177
제주특별자치도,서귀포시,성산일출봉,1782849,33.4622338,126.9368007
제주특별자치도,서귀포시,정방폭포,1640313,33.244748,126.5730501
제주특별자치도,제주시,절물자연휴양림,1596805,33.4400488,126.6252034
제주특별자치도,서귀포시,아쿠아플라넷제주,1549976,33.4329769,126.9277955
제주특별자치도,서귀포시,마라해양도립공원,1492207,33.1186079,126.267295
제주특별자치도,서귀포시,카멜리아힐,1368326,33.2901402,126.3683652
제주특별자치도,서귀포시,산방산,1187698,33.2423924,126.3139508
제주특별자치도,제주시,만장굴,1138013,33.5283774,126.7716158
제주특별자치도,서귀포시,천제연폭포,1024594,33.2526755,126.4183742
