시도,군구,관광지,총계
제주특별자치도,제주시,국립제주박물관,260556
제주특별자치도,제주시,도립미술관,64646
제주특별자치도,제주시,만장굴관광지,536478
제주특별자치도,제주시,민속자연사박물관,147177
제주특별자치도,제주시,비자림,876050
제주특별자치도,제주시,삼양선사유적지,17490
제주특별자치도,제주시,절물자연휴양림,595266
제주특별자치도,제주시,제주도립 김창열미술관,81150
제주특별자치도,제주시,제주돌문화공원,195163
제주특별자치도,제주시,제주목관아지,64177
제주특별자치도,제주시,제주별빛누리공원,38350
제주특별자치도,제주시,제주항일기념관,63231
제주특별자치도,제주시,제주현대미술관,131388
제주특별자치도,제주시,한라산국립공원,850744
제주특별자치도,제주시,항몽 유적지,86931
제주특별자치도,제주시,해녀 박물관,123214
제주특별자치도,서귀포시,감귤박물관,68602
제주특별자치도,서귀포시,기당미술관,15879
제주특별자치도,서귀포시,마라해양도립공원,375213
제주특별자치도,서귀포시,박물관은살아있다,114030
제주특별자치도,서귀포시,산방산,557162
제주특별자치도,서귀포시,서귀포도립해양공원,60424
제주특별자치도,서귀포시,서귀포자연휴양림,162667
제주특별자치도,서귀포시,서복전시관,25415
제주특별자치도,서귀포시,성산일출봉,818803
제주특별자치도,서귀포시,이중섭미술관,137902
제주특별자치도,서귀포시,일출랜드,66003
제주특별자치도,서귀포시,정방폭포,682043
제주특별자치도,서귀포시,제주국제평화센터,19595
제주특별자치도,서귀포시,제주추사관,38452
제주특별자치도,서귀포시,중문대포해안주상절리대,888211
제주특별자치도,서귀포시,천제연폭포,426372
제주특별자치도,서귀포시,천지연폭포,998867
제주특별자치도,서귀포시,카멜리아힐,450465
제주특별자치도,서귀포시,한화아쿠아플라넷제주,431978
